33993474,1417889,O,137764.41,1997-12-25,1-URGENT,Clerk#000006317,0," detect fluffily. carefully qui"		
33993476,293191,O,102659.42,1998-04-03,3-MEDIUM,Clerk#000006037,0,e furiously. slyly even 		
33993477,154172,O,134057.11,1997-08-25,5-LOW,Clerk#000004698,0,unts. quickly final requests aro		
33993479,1103818,O,134268.84,1997-02-23,1-URGENT,Clerk#000001648,0,ts. silently even excuses above the		
33993505,160718,O,278853.12,1996-05-13,2-HIGH,Clerk#000006024,0," packages sleep slyly along the regular deposits. ex"		
33993509,484103,O,427642.12,1996-02-20,2-HIGH,Clerk#000006030,0,oss the stealthily b		
33993510,311743,O,274238.21,1996-03-30,3-MEDIUM,Clerk#000007978,0,nal packages haggle carefully along the quickly unusual ideas. slyl		
33993537,678376,O,86025.92,1997-02-04,1-URGENT,Clerk#000005953,0,ly express instructions. fluffily even platelets boost carefully about the bli		
33993539,1438465,O,252328.21,1997-12-31,5-LOW,Clerk#000007632,0,symptotes. ruthlessly quick attainments c		
33993540,771670,O,102462.53,1998-06-08,3-MEDIUM,Clerk#000006375,0," even asymptotes	 carefully pending"	
33993574,478216,O,97226.03,1996-03-25,1-URGENT,Clerk#000002385,0,losely according to the carefu		
33993601,1067237,O,226793.95,1998-06-19,2-HIGH,Clerk#000002259,0,"al, final foxes impress. furiously regul"		
33993602,41116,O,31678.04,1997-05-23,1-URGENT,Clerk#000003880,0,. fluffily silent accounts haggle t		
33993604,996469,O,242688.89,1997-01-13,1-URGENT,Clerk#000009358,0,ress accounts wake furiously quickly br		
33993633,798829,O,89335.56,1998-06-10,4-NOT SPECIFIED,Clerk#000000758,0,es haggle. blithely regular deposits		
33993635,862270,O,42191.64,1997-01-08,5-LOW,Clerk#000001735,0,". silent, regular pinto "		
33993639,185191,O,131095.09,1997-04-09,1-URGENT,Clerk#000004395,0,posits are. slyly regular requests engage quickly about		
33993666,621670,O,73815.24,1997-09-07,3-MEDIUM,Clerk#000001601,0,. blithely express packages cajole. deposits s		
33993668,1091416,O,24094.89,1996-11-23,3-MEDIUM,Clerk#000007299,0,ke alongside of the slyly express deposits. slyly ironic asympto		
33993669,1421480,O,219824.13,1996-05-03,2-HIGH,Clerk#000008635,0,fily final requests. slyly regular realms above the 		
33993670,311914,O,45587.20,1996-06-12,4-NOT SPECIFIED,Clerk#000002810,0,believe around the sometimes regular requests. carefully bold platelets a		
33993671,1338022,O,67514.56,1998-03-01,3-MEDIUM,Clerk#000005257,0,"nal, even asymptotes sleep quickly ironic idea"		
33993702,1180399,O,184969.17,1996-02-28,2-HIGH,Clerk#000009457,0,as do are blithely at the 		
33993729,1447075,O,267624.53,1997-11-19,1-URGENT,Clerk#000009760,0,ccounts use deposits. fu		
33993730,1480279,O,176555.21,1998-01-08,4-NOT SPECIFIED,Clerk#000005867,0,bout the fluffily silent theodolites. fu		
33993732,651992,O,184420.21,1997-07-29,4-NOT SPECIFIED,Clerk#000004665,0,refully regular packages. furiously express inst		
33993733,513235,O,177889.07,1996-05-27,3-MEDIUM,Clerk#000003867,0,carefully express pains. carefully ironic packages wake accord		
33993734,924571,O,95920.45,1998-05-19,5-LOW,Clerk#000003725,0,across the blithely idle ex		
33993735,732949,O,208189.50,1996-08-14,1-URGENT,Clerk#000000850,0,kages. furiously pending packages wake furiously. ruthlessly fina		
33993760,651409,O,182574.16,1997-08-19,2-HIGH,Clerk#000004077,0,"haggle slyly. slyly even foxes sleep blithely regular, fin"		
33993764,411998,O,172789.21,1996-09-24,1-URGENT,Clerk#000008041,0,ess instructions! quickly silent braids according		
33993765,436009,O,229001.59,1998-04-05,1-URGENT,Clerk#000009472,0," final deposits? slyly eve"		
33993766,489865,O,178627.01,1996-06-09,3-MEDIUM,Clerk#000009134,0,old packages wake. quietly express reque		
33993767,1155806,O,210522.00,1998-03-19,5-LOW,Clerk#000003518,0,nic deposits	 furiously unusual pinto beans promise carefully. blithely fin	
33993793,197204,O,328758.15,1997-04-10,5-LOW,Clerk#000002717,0,c packages-- carefully regular requests around t		
33993795,647404,O,121355.42,1997-11-07,5-LOW,Clerk#000002922,0,into beans run evenly unusual instructions. slyly even courts nag quick		
33993796,1394110,O,27633.37,1997-10-21,5-LOW,Clerk#000007477,0," foxes	 carefully unusual orbit"	
33993799,1120717,O,217815.13,1996-02-29,1-URGENT,Clerk#000008226,0,he furiously final pinto bea		
33993825,171316,O,214772.75,1996-10-17,4-NOT SPECIFIED,Clerk#000000425,0,ies use at the slyly regular pearls		
33993826,805606,O,82069.10,1998-03-20,2-HIGH,Clerk#000008799,0,ctions cajole blithely requests. regul		
33993828,1080514,O,173663.42,1996-12-15,4-NOT SPECIFIED,Clerk#000002900,0,r pinto beans promise against the furiously regu		
33993830,642230,O,63215.12,1997-03-08,2-HIGH,Clerk#000002656,0,s the slyly express theodolites. final acco		
33993831,1450691,O,1819.17,1996-04-22,3-MEDIUM,Clerk#000001073,0," express theodolites. excuses are dar"		
33993862,235013,O,97998.67,1997-04-03,4-NOT SPECIFIED,Clerk#000008351,0,xpress requests wake along the sometimes ironic requests. pe		
33993890,1274399,O,52189.12,1996-04-14,2-HIGH,Clerk#000009267,0,regular instructions haggle across the 		
33993892,964840,O,174606.52,1996-04-22,3-MEDIUM,Clerk#000000905,0,lly ironic packages nag carefully to the pa		
33993893,1065446,O,365328.19,1996-11-22,3-MEDIUM,Clerk#000006084,0,ly. furiously final gifts nag carefully against the slyly express r		
33993894,1448566,O,138087.05,1998-08-02,5-LOW,Clerk#000009741,0,ing ideas sleep slyly close Tiresias. sometimes p		
33993895,1018775,O,112342.79,1998-01-13,2-HIGH,Clerk#000007958,0,the slyly silent asymptotes impress		
33993953,1166404,O,128772.17,1996-01-22,2-HIGH,Clerk#000006272,0,uickly according to the regular the		
33993957,153031,O,151005.31,1996-09-25,2-HIGH,Clerk#000000251,0,"ans. even, even theodolites wake. final, even "		
33993985,147956,O,99129.63,1996-09-12,4-NOT SPECIFIED,Clerk#000006387,0,ely even deposits. furiously iro		
33993986,1181662,O,235988.84,1996-09-29,3-MEDIUM,Clerk#000004567,0,e furiously slyly ironic pinto beans: slyly dogged platelets boost quickly ac		
33993987,180154,O,297527.95,1997-05-23,1-URGENT,Clerk#000002990,0,ts cajole. final ideas doze slyly. deposits against the quickly even deposi		
33993988,847192,O,73030.93,1998-07-30,3-MEDIUM,Clerk#000008353,0,according to the slyly silent platelets. blithely ironic theo		
33993989,732271,O,145611.53,1998-07-04,1-URGENT,Clerk#000004261,0,ounts boost slyly. quick		
33994017,573340,O,135412.24,1996-09-28,1-URGENT,Clerk#000003287,0,g deposits-- requests cajole accounts. accounts haggle furiously aft		
33994020,1057588,O,110362.25,1996-12-04,4-NOT SPECIFIED,Clerk#000002794,0,nal pinto beans are carefully about the blithely special grouches. 		
33994053,36668,O,173686.80,1996-07-23,5-LOW,Clerk#000001188,0," even, ironic packages	 blithely ironic"	
33994081,1306702,O,223305.71,1997-04-15,1-URGENT,Clerk#000003081,0,fully final theodolites. furiously final deposits wake regular depen		
33994082,213808,O,358780.69,1998-02-04,3-MEDIUM,Clerk#000001127,0,"unts at the express, express requests are slyly "		
33994083,945808,O,378070.33,1996-01-02,3-MEDIUM,Clerk#000002809,0,s epitaphs nag quickly above the carefully final		
33994086,479494,O,226578.67,1997-05-27,5-LOW,Clerk#000003628,0,of the carefully regular accounts. furiously final deposits wake fu		
33994087,846241,O,230328.77,1998-03-10,2-HIGH,Clerk#000001877,0,ncies eat. carefully unusual deposits hinder slyly re		
33994116,675200,O,276125.37,1996-01-09,3-MEDIUM,Clerk#000009995,0,refully. special excuses do cajole. regular deposits nag: boldly final platele		
33994144,1290928,O,148564.07,1998-04-03,5-LOW,Clerk#000004401,0,"sits. bold, careful instructions boos"		
33994148,78931,O,60039.10,1998-04-13,3-MEDIUM,Clerk#000000524,0," are	 final asymptotes are care"	
33994149,586342,O,29177.38,1997-08-15,3-MEDIUM,Clerk#000006317,0,ag along the carefully final a		
33994150,1146904,O,67688.40,1996-01-10,3-MEDIUM,Clerk#000008988,0,"ess accounts use even, regular excuses. dolphins wake c"		
33994176,601633,O,28338.07,1998-05-12,5-LOW,Clerk#000001732,0,xpress frets at the blithely exp		
33994177,129635,O,149405.08,1997-03-30,2-HIGH,Clerk#000003949,0,. ironic instructions sleep among the packages	 slyly pending accounts hag	
33994179,1147357,O,156173.40,1996-01-18,3-MEDIUM,Clerk#000000279,0,carefully against the daring asymptotes. permanently special ideas above th		
33994180,1119107,O,143441.78,1996-10-28,3-MEDIUM,Clerk#000004695,0," accounts detect bli"		
33994182,72115,O,150641.37,1996-02-17,3-MEDIUM,Clerk#000001675,0," quickly closely ironic pearls. ironic, unusual courts use. fluf"		
33994183,20729,O,136575.35,1996-09-20,3-MEDIUM,Clerk#000001676,0,equests. slyly final requests integr		
33994209,1347370,O,121943.92,1997-05-02,3-MEDIUM,Clerk#000005333,0,"its? excuses cajole along the ironic, pending theodolites. express the"		
33994211,74677,O,103728.15,1996-05-07,2-HIGH,Clerk#000001365,0,refully final pinto beans wake blithely pending 		
33994213,196351,O,278802.47,1997-08-26,2-HIGH,Clerk#000005328,0,he pending asymptotes. carefully regular dependencies integrate furiously of		
33994215,1004156,O,39662.41,1998-02-22,3-MEDIUM,Clerk#000003791,0,lphins. fluffily even 		
33994243,168737,O,80082.70,1996-04-04,3-MEDIUM,Clerk#000005940,0,ke furiously brave accounts. fluffily regular excuses across the furiously re		
33994247,1334255,O,256433.92,1997-10-15,5-LOW,Clerk#000002234,0,c deposits. daring foxes are furious		
33994273,1432865,O,17969.70,1998-01-04,5-LOW,Clerk#000005784,0,"sits hang final, final foxes. regular do"		
33994276,211591,O,199684.99,1997-02-24,5-LOW,Clerk#000000376,0,ic dependencies. pending attainments cajole		
33994277,1206710,O,122225.61,1998-02-21,2-HIGH,Clerk#000006640,0,"e regular, permanent dependen"		
33994278,1171240,O,139837.06,1997-05-31,5-LOW,Clerk#000007050,0,"y furiously ironic foxes. unusual, bold acco"		
33994304,1414406,O,8301.77,1996-12-05,2-HIGH,Clerk#000003665,0,en accounts. deposits mold care		
33994307,1163545,O,263892.70,1997-03-05,2-HIGH,Clerk#000009237,0,s nag blithely ironi		
33994308,195419,O,119056.38,1996-09-21,1-URGENT,Clerk#000004153,0,regularly pending ideas sublate furiously along the quickly ironic depo		
33994311,786047,O,294722.42,1998-01-12,5-LOW,Clerk#000001797,0,theodolites kindle carefully 		
33994337,996238,O,177057.77,1996-07-22,4-NOT SPECIFIED,Clerk#000005219,0,hould have to wake carefully among the furiously ironic ideas. ironic re		
33994341,602215,O,50004.91,1996-12-22,1-URGENT,Clerk#000000162,0,about the slyly regular packages cajole a		
33994342,896474,O,274683.11,1997-11-22,3-MEDIUM,Clerk#000006947,0,"r, special foxes. finally regular foxes are. slyly bold deposits sle"		
33994369,464740,O,179211.93,1996-03-19,3-MEDIUM,Clerk#000001523,0,ar theodolites are	 final theodolites inside the even excuse	
33994370,369520,O,309457.41,1996-10-22,3-MEDIUM,Clerk#000009466,0,side of the bold deposits cajole after the		
33994400,657260,O,211118.09,1997-12-16,4-NOT SPECIFIED,Clerk#000003918,0,"ets. even, silent foxes across the s"		
33994401,560933,O,5876.42,1997-04-28,3-MEDIUM,Clerk#000006379,0,unusual packages according to the ironic requests wake fluffily bold pac		
33994402,90377,O,257528.57,1997-02-08,2-HIGH,Clerk#000006971,0,lithely even accounts against the slyly even theodolites are after the 		
33994403,960370,O,224330.42,1998-04-08,4-NOT SPECIFIED,Clerk#000005298,0,ests affix slowly according to the quickly regular deposits.		
33994432,895940,O,262717.90,1997-09-23,3-MEDIUM,Clerk#000001054,0,osits. blithely bold instructi		
33994434,1108399,O,108187.33,1997-02-14,1-URGENT,Clerk#000000738,0,theodolites cajole carefully 		
33994437,1242427,O,181167.73,1997-11-05,3-MEDIUM,Clerk#000009397,0,re furiously regular acco		
33994438,1442206,O,173557.64,1998-01-20,4-NOT SPECIFIED,Clerk#000004027,0,sly accounts cajole. fl		
33994466,944099,O,116183.35,1996-02-02,5-LOW,Clerk#000006591,0,lar theodolites unwind across the		
33994468,1297694,O,48877.21,1996-06-10,5-LOW,Clerk#000000207,0,final packages haggle along the quickly regular		
33994469,336052,O,341874.63,1998-03-23,4-NOT SPECIFIED,Clerk#000001794,0,above the regular instructions nag fluffily after the slyly dogged r		
33994498,870415,O,65844.48,1997-09-20,5-LOW,Clerk#000004870,0,riously final somas sublate blithely fluffily ironic requests. accounts 		
33994501,828685,O,215940.39,1997-09-24,5-LOW,Clerk#000002152,0,around the furiously regular packages. regular packages about the a		
33994528,52829,O,123465.61,1996-07-26,1-URGENT,Clerk#000003424,0,the boldly regular foxes. requests haggle blithe		
33994532,762193,O,103554.20,1997-04-03,3-MEDIUM,Clerk#000008134,0,"ickly quickly ruthless foxes! slow, silent ideas mold "		
33994560,492205,O,67159.59,1997-10-30,1-URGENT,Clerk#000006932,0,"usly silent packages. ironic, express packages use blithe"		
33994561,1457908,O,29890.31,1997-09-15,4-NOT SPECIFIED,Clerk#000004991,0,ully regular deposits w		
33994562,537797,O,101709.56,1998-06-04,4-NOT SPECIFIED,Clerk#000007426,0,"le carefully regular, ironic orbits. express deposits "		
33994563,1246358,O,32722.56,1997-06-20,1-URGENT,Clerk#000005623,0,ar foxes alongside of the silent excuses sleep blithely special asymptotes. fl		
33994564,26845,O,103628.83,1997-01-22,5-LOW,Clerk#000002978,0," regular instructions. pending foxes haggle "		
33994565,1152947,O,239565.15,1996-04-12,5-LOW,Clerk#000009581,0,"y, regular foxes nag furiously. slyly regular pinto beans use quickly even "		
33994592,618736,O,167436.86,1996-05-02,1-URGENT,Clerk#000004906,0,st blithely blithely busy requests.		
33994593,1063913,O,81678.82,1997-06-06,5-LOW,Clerk#000008298,0,ccording to the even accounts. carefully bold pinto		
33994594,1174528,O,107671.86,1996-06-23,3-MEDIUM,Clerk#000000196,0,nding packages sleep acc		
33994595,262960,O,10051.25,1997-04-08,3-MEDIUM,Clerk#000002079,0," quickly against the blithely pending deposits. bold requests "		
33994596,549704,O,44475.54,1997-03-29,4-NOT SPECIFIED,Clerk#000001021,0,pecial packages. slyly final 		
33994599,872656,O,397328.28,1996-05-25,4-NOT SPECIFIED,Clerk#000009775,0,nal warthogs would sublate across the blithely regular requests. sometimes i		
33994624,1206913,O,231361.31,1998-02-19,1-URGENT,Clerk#000002004,0,e above the furiously final accounts. carefully even packages kindle carefu		
33994625,54779,O,217425.02,1996-06-15,5-LOW,Clerk#000007256,0,s. enticingly bold ideas thrash blithely blithely ironic dolphins. ev		
33994626,1160521,O,192454.02,1996-05-04,3-MEDIUM,Clerk#000000031,0,r foxes integrate slyly regular somas-- quickly regular theodol		
33994628,1067404,O,309049.82,1997-01-30,2-HIGH,Clerk#000001546,0,otes. pending accounts haggle furiously against t		
33994629,1327709,O,355619.16,1996-09-15,5-LOW,Clerk#000008435,0," carefully regular "		
33994657,320485,O,64042.05,1996-08-17,3-MEDIUM,Clerk#000007950,0,final ideas after the fluffily even escapades use ruthlessly along the qui		
33994689,389521,O,155007.08,1997-07-25,1-URGENT,Clerk#000008107,0," regular frays engage furiously fluffily pe"		
33994692,568496,O,131596.77,1998-03-26,2-HIGH,Clerk#000003770,0,"sual accounts. excuses cajole after the unusual, silent sauternes: carefully "		
33994694,1355359,O,226626.24,1997-12-13,2-HIGH,Clerk#000003794,0,gular deposits? blithely fluff		
33994695,500699,O,174247.01,1997-01-01,1-URGENT,Clerk#000003227,0,o the carefully fin		
33994724,1403269,O,194520.53,1997-04-21,5-LOW,Clerk#000002669,0,ccounts under the furiously silent requests are quickly among t		
33994726,1034708,O,234010.79,1998-07-12,4-NOT SPECIFIED,Clerk#000004810,0,y across the express pinto beans. furiously unu		
33994752,43084,O,149491.21,1998-03-05,1-URGENT,Clerk#000002708,0,yly even accounts. quickly dogged account		
33994755,1364734,O,147962.98,1997-06-14,3-MEDIUM,Clerk#000008735,0,blithely even requests. fluffil		
33994756,583501,O,197703.73,1996-05-07,5-LOW,Clerk#000003561,0,g the unusual accounts haggle slyly outside the blithely regula		
33994758,872113,O,184326.38,1997-06-19,3-MEDIUM,Clerk#000006280,0,y special decoys integrate blithely after the excuses. car		
33994784,965917,O,253220.57,1997-03-14,5-LOW,Clerk#000003285,0," after the deposits. final theodolites across th"		
33994785,1151944,O,224223.72,1996-03-30,1-URGENT,Clerk#000003576,0," blithely carefully regular accounts. blithely regular excuses sleep "		
33994787,1494604,O,183989.40,1998-05-06,1-URGENT,Clerk#000005886,0,y bold dependencies around the quickly ironic instructions cajo		
33994790,922360,O,196606.78,1997-07-07,4-NOT SPECIFIED,Clerk#000003884,0,ckly across the quickly pending foxes. fl		
33994818,109802,O,33976.65,1997-01-25,4-NOT SPECIFIED,Clerk#000002219,0,s poach. furiously pending ideas wake carefully from the silent pinto beans. 		
33994823,392762,O,108239.23,1997-02-03,1-URGENT,Clerk#000007783,0,r tithes affix blithely carefully bold theodolites.		
33994849,1074002,O,111078.40,1996-08-29,3-MEDIUM,Clerk#000001160,0,fully even realms across 		
33994850,1251022,O,246942.95,1996-04-07,2-HIGH,Clerk#000002190,0,. quietly unusual packages doze blithely regular theodolite		
33994852,893039,O,99726.58,1998-06-06,3-MEDIUM,Clerk#000006627,0,yly even requests wake a		
33994853,292862,O,213522.93,1997-06-12,3-MEDIUM,Clerk#000005186,0,y quiet requests use. unusual deposits integrate about the blithe		
33994854,629974,O,202684.00,1996-07-30,3-MEDIUM,Clerk#000006834,0," requests wake. regular, ironic grouches across the slyly sile"		
33994881,185062,O,254738.96,1998-01-14,5-LOW,Clerk#000001901,0,"c, final packages solve always. express asymptotes are. even accou"		
33994885,191044,O,207680.07,1998-02-15,2-HIGH,Clerk#000004646,0,uriously ironic courts. slyly regular dependencies detect express		
33994915,925588,O,234869.08,1998-01-17,2-HIGH,Clerk#000009376,0,"after the even, special excuses. carefully bold asymptotes slee"		
33994918,346261,O,226437.13,1997-01-14,2-HIGH,Clerk#000007282,0,osely after the furiously ironic pinto beans. unusual theodolite		
33994944,430312,O,158704.53,1996-12-25,1-URGENT,Clerk#000000395,0,posits cajole. final dependencies wake entici		
33994977,430519,O,162023.88,1998-02-24,4-NOT SPECIFIED,Clerk#000009043,0,equests. slyly express theodolites are sly		
33994982,625300,O,65985.63,1998-07-02,2-HIGH,Clerk#000005244,0,phins after the fluffily unusual deposi		
33995008,153637,O,246877.69,1996-12-03,4-NOT SPECIFIED,Clerk#000002419,0,ites. packages against the furiously regular ac		
33995015,1300609,O,251511.86,1997-02-02,3-MEDIUM,Clerk#000009132,0," the blithely even packages wake carefully regular asy"		
33995044,1008982,O,125874.29,1998-02-02,5-LOW,Clerk#000004090,0," instructions run furiously blithe platelets. bold, regular"		
33995045,430600,O,59417.69,1997-05-10,2-HIGH,Clerk#000006008,0,inal sauternes. furiously even requests m		
33995046,1091345,O,40662.69,1996-02-05,5-LOW,Clerk#000003703,0," special dolphins among"		
33995047,221498,O,59454.78,1998-02-05,1-URGENT,Clerk#000008435,0,mong the carefully even requests. carefully regular pinto beans sleep f		
33995072,1214779,O,268403.33,1997-06-04,5-LOW,Clerk#000001043,0," the carefully special requests lose according to the decoys. fluffily fina"		
33995074,352195,O,98864.94,1997-09-25,2-HIGH,Clerk#000009962,0,riously ironic requests. final pinto beans cajole carefully quickly bold p		
33995077,1350287,O,78837.21,1998-03-14,5-LOW,Clerk#000000227,0,ly final theodolites wake about the blithely regular requests. fluffily b		
33995078,769765,O,233299.87,1996-01-22,2-HIGH,Clerk#000003128,0,"o beans haggle along the accounts. ironic, ev"		
33995108,194146,O,119409.43,1996-07-24,4-NOT SPECIFIED,Clerk#000007426,0,pecial realms print slyly after		
33995138,31921,O,201151.25,1996-08-16,3-MEDIUM,Clerk#000007664,0,"e final, bold decoys. pending, ironic theodoli"		
33995142,1271225,O,156441.09,1997-10-04,4-NOT SPECIFIED,Clerk#000004229,0,unts. slyly regular packages x-ray furiously-- blithely final foxes		
33995171,1387816,O,142333.60,1998-06-23,5-LOW,Clerk#000006723,0,", special requests cajole. quickly regular accounts sleep slyly sil"		
33995175,550486,O,7406.90,1998-04-07,5-LOW,Clerk#000000282,0,as are. ruthlessly ironic foxes sleep		
33995203,1046576,O,167113.43,1996-04-12,4-NOT SPECIFIED,Clerk#000007596,0,rts use blithely even packages. careful id		
33995207,332371,O,121169.13,1998-06-26,4-NOT SPECIFIED,Clerk#000001402,0,". carefully blithe accounts haggle along the packages. regular, pen"		
33995232,128321,O,77192.62,1996-02-05,5-LOW,Clerk#000007039,0," final ideas. ironic, regular foxes affix furiously above the quickly even "		
33995233,1183412,O,121293.30,1997-08-04,1-URGENT,Clerk#000008802,0,play. unusual requests affix furiously. fluffily even ideas slee		
33995234,1103045,O,236068.80,1998-02-13,1-URGENT,Clerk#000001021,0,"endencies. packages nag. even, "		
33995238,25025,O,89666.54,1996-05-31,2-HIGH,Clerk#000000705,0,dencies are busily carefully unusual asymptotes. furiously fin		
33995239,578464,O,119320.05,1997-11-05,5-LOW,Clerk#000008137,0,nto beans are regular packages. furiously regular ideas		
33995265,658339,O,45361.30,1996-02-01,4-NOT SPECIFIED,Clerk#000008865,0,pecial excuses alongside of the carefully sly accounts unwind fu		
33995296,349601,O,228199.80,1998-06-08,3-MEDIUM,Clerk#000005109,0,olites sleep furiously final packages. even pinto beans use. carefu		
33995298,486916,O,129983.52,1997-10-27,2-HIGH,Clerk#000005266,0,y busily final deposits. regular requests haggle 		
33995299,1080104,O,143468.29,1998-03-23,4-NOT SPECIFIED,Clerk#000007452,0,nos. slyly even packages nag along the pending platelets. s		
33995302,86671,O,221208.93,1996-08-15,4-NOT SPECIFIED,Clerk#000004595,0,cuses print furiously furiously regular packages. car		
33995329,1276531,O,258360.04,1997-12-20,2-HIGH,Clerk#000003369,0,ironic packages use fluffily throughout the final		
33995331,238897,O,63249.11,1996-04-23,5-LOW,Clerk#000009572,0,t. express sheaves sleep carefully even pinto 		
33995332,1111684,O,172600.17,1998-07-28,5-LOW,Clerk#000002549,0," sleep fluffily pen"		
33995333,45823,O,173707.43,1996-03-05,3-MEDIUM,Clerk#000008559,0,ously against the regular instructions. furiously unusual requests nag qui		
33995334,624350,O,261033.96,1998-02-27,1-URGENT,Clerk#000000107,0,"ar accounts. blithe, unusual foxes haggle blithely bold ideas! "		
33995360,1465130,O,176418.77,1997-03-23,1-URGENT,Clerk#000000432,0,uests. slyly regular warhorses nag express platelets. furiously si		
33995362,165910,O,57706.85,1996-01-25,4-NOT SPECIFIED,Clerk#000005514,0,slowly. slyly regular dependencies nag accordin		
33995363,1426045,O,128959.25,1998-01-26,5-LOW,Clerk#000007874,0," furiously ironic th"		
33995366,849958,O,361009.28,1997-02-03,3-MEDIUM,Clerk#000002265,0,aggle furiously blithely final instructions. quickly regular instructions 		
33995367,730801,O,14033.11,1996-03-31,2-HIGH,Clerk#000005457,0,ss requests use blithely against		
33995392,557305,O,35433.07,1996-04-19,5-LOW,Clerk#000001801,0,sh alongside of the furiously iron		
33995394,398386,O,21001.09,1997-05-18,2-HIGH,Clerk#000001002,0,", ironic accounts cajole slyly furiously final packa"		
33995396,66001,O,60019.28,1996-10-10,3-MEDIUM,Clerk#000005317,0,ross the furiously even accounts wake 		
33995425,787516,O,67786.00,1996-05-09,3-MEDIUM,Clerk#000009884,0,onic accounts across the quickly ironic requests nag fu		
33995426,1268168,O,163875.64,1996-06-08,3-MEDIUM,Clerk#000008730,0,pendencies wake. quickly ironic instructions wake slyly among the quietly iron		
33995428,214918,O,218163.89,1996-01-27,4-NOT SPECIFIED,Clerk#000006183,0,sits sublate fluffily above the carefully regular platelets. quickly speci		
33995429,122452,O,73147.27,1997-02-01,4-NOT SPECIFIED,Clerk#000008282,0,ly bold platelets sleep alongside of the carefully regular patterns. 		
33995431,546484,O,225750.60,1997-07-02,4-NOT SPECIFIED,Clerk#000000044,0,uriously final packages wake carefully above the care		
33995461,965342,O,65517.42,1997-01-27,2-HIGH,Clerk#000000505,0,al accounts. blithely regular deposits d		
33995462,500059,O,64232.97,1997-05-29,1-URGENT,Clerk#000006527,0,mong the furiously bold packages. regular instructions		
33995488,719795,O,265903.38,1997-12-19,4-NOT SPECIFIED,Clerk#000006220,0,ngside of the theodolites wake quietly across the furio		
33995490,276616,O,202996.99,1998-04-26,3-MEDIUM,Clerk#000008985,0," daringly regular requests are blithely alongside of the quic"		
33995491,567902,O,69111.11,1997-03-20,2-HIGH,Clerk#000008368,0,l packages haggle fluffily. da		
33995492,225979,O,118187.39,1998-04-01,5-LOW,Clerk#000007623,0,he bold platelets. furiously ironic dependencies sleep car		
33995520,224620,O,46896.33,1996-11-07,1-URGENT,Clerk#000005183,0,its nag blithely across the furiously ironic deposit		
33995521,1160062,O,178726.80,1998-05-28,4-NOT SPECIFIED,Clerk#000001744,0,ckly final pinto beans are quickly furi		
33995522,146320,O,172609.25,1997-12-15,2-HIGH,Clerk#000007782,0,"osits haggle quickly. regular, unusual "		
33995552,281852,O,70544.60,1997-08-02,3-MEDIUM,Clerk#000008749,0,oss the permanently regular pinto beans affix 		
33995556,1320764,O,313256.46,1996-03-30,4-NOT SPECIFIED,Clerk#000009257,0,ely ironic requests engage above the blithely special 		
33995559,867595,O,20366.40,1996-10-08,2-HIGH,Clerk#000002771,0,onic requests print 		
